Ex/EFF DATE,TYPE,CASH AMOUNT,DECLARATION DATE,RECORD DATE,PAYMENT DATE
12/16/1999,CASH,$0.12,11/19/1999,12/20/1999,01/05/00
09/16/1999,CASH,$0.12,08/16/1999,09/20/1999,10/04/99
06/14/1999,CASH,$0.12,06/04/99,06/16/1999,07/02/99
03/18/1999,CASH,$0.12,02/22/1999,03/22/1999,04/06/99
12/17/1998,CASH,$0.12,11/20/1998,12/21/1998,01/05/99
09/17/1998,CASH,$0.12,08/17/1998,09/21/1998,10/05/98
06/15/1998,CASH,$0.12,05/18/1998,06/17/1998,07/03/98
03/18/1998,CASH,$0.12,02/20/1998,03/20/1998,04/06/98
12/18/1997,CASH,$0.12,11/21/1997,12/22/1997,01/05/98
09/18/1997,CASH,$0.10,08/18/1997,09/22/1997,10/06/97
06/16/1997,CASH,$0.10,05/19/1997,06/18/1997,07/03/97
03/18/1997,CASH,$0.10,02/21/1997,03/20/1997,04/04/97
12/13/1996,CASH,$0.10,11/14/1996,12/17/1996,01/03/97
09/04/96,CASH,$0.15,08/23/1996,09/06/96,10/01/96
06/05/96,CASH,$0.15,05/20/1996,06/07/96,07/02/96
03/06/96,CASH,$0.15,02/09/96,03/08/96,04/02/96
12/06/95,CASH,$0.15,11/17/1995,12/08/95,01/03/96
09/06/95,CASH,$0.25,08/18/1995,09/08/95,10/02/95
06/06/95,CASH,$0.25,05/19/1995,06/09/95,07/05/95
